maceta,provincia,densidad,aceite
1,ba,1_planta,0.99
2,ba,1_planta,0.99
3,ba,1_planta,1.11
4,ba,1_planta,0.82
5,ba,1_planta,1.11
6,ba,5_plantas,1.35
7,ba,5_plantas,1.41
8,ba,5_plantas,1.45
9,ba,5_plantas,1.21
10,ba,5_plantas,1.18
11,mza,1_planta,1.38
12,mza,1_planta,1.35
13,mza,1_planta,1.54
14,mza,1_planta,1.59
15,mza,1_planta,1.3
16,mza,5_plantas,1.79
17,mza,5_plantas,1.85
18,mza,5_plantas,1.73
19,mza,5_plantas,2.04
20,mza,5_plantas,1.78
21,sl,1_planta,1.35
22,sl,1_planta,1.56
23,sl,1_planta,1.24
24,sl,1_planta,1.25
25,sl,1_planta,1.29
26,sl,5_plantas,1.29
27,sl,5_plantas,1.2
28,sl,5_plantas,1.07
29,sl,5_plantas,1.47
30,sl,5_plantas,1.48
